rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2174183-105632-38,38,2174183,41,33535,2023-01-27 13:57:22.000000 UTC,105632,UCLA,Bruins,74,1,false,true,1928813-1320951-958626-1320952-1928817,4,4,2378.3,2400.0,00:21,00:00,21.7,1,2,-1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,1,00:22,0,1,,,0.5,0.8,0.92999999999999994,0.865,1.25,2.1505,-0.9005,false
2174199-105159-1,1,2174199,3,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-958445,1,1,0.0,79.0,10:00,08:41,79.0,0,2,-2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,2,0,01:19,0,2,0.0,0.0,,2.0,2.0,2.0,0.0,1.0,-1.0,false
2174199-105159-2,2,2174199,4,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-1917875,1,1,79.0,267.0,08:41,05:33,188.0,10,5,5,4,4,2,2,2,2,0,0,1,0,0,2,0,2,5,1,4,1,1,0,2,0,0,0,1,03:08,2,1,1.0,1.0,,4.0,3.9299999999999997,3.965,2.5,1.2723,1.2277,true
2174199-105159-3,3,2174199,5,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-1895174,1,1,267.0,333.0,05:33,04:27,66.0,4,2,2,1,1,1,1,0,0,2,2,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,01:06,0,0,1.0,,1.0,1.8,2.0,1.9,2.2222,1.0,1.2222,false
2174199-105159-4,4,2174199,6,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705206-1705204-979669-1895174,1,1,333.0,424.0,04:27,02:56,91.0,2,7,-5,1,2,1,1,0,1,0,0,1,0,1,0,0,1,2,1,1,0,1,6,0,0,1,1,1,01:31,0,2,1.0,0.0,,3.0,3.33,3.165,0.6667,2.1021,-1.4354,true
2174199-105159-5,5,2174199,7,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705206-1705204-1895174,1,1,424.0,471.0,02:56,02:09,47.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,00:47,1,0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,false
2174199-105159-6,6,2174199,8,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705206-1318079-1895174,1,1,471.0,600.0,02:09,00:00,129.0,4,3,1,2,4,2,3,0,1,0,0,1,1,0,1,0,1,2,0,1,1,1,0,1,1,0,2,0,02:09,1,2,0.6667,0.0,,4.0,3.0,3.5,1.0,1.0,0.0,true
2174199-105159-7,7,2174199,8,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705206-1318079-1895174,2,2,600.0,696.0,10:00,08:24,96.0,4,0,4,2,4,2,4,0,0,0,0,0,1,0,2,2,0,2,0,2,0,0,0,0,1,0,0,0,01:36,4,0,0.5,,,1.8599999999999999,3.0,2.43,2.1505,0.0,2.1505,false
2174199-105159-8,8,2174199,10,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1705206-1705204-979669-958445,2,2,696.0,913.0,08:24,04:47,217.0,6,7,-1,3,6,3,4,0,2,0,0,2,0,0,3,0,3,7,2,4,1,3,0,1,1,0,3,1,03:37,3,4,0.75,0.0,,6.0,6.93,6.465,1.0,1.0101,-0.0101,true
2174199-105159-9,9,2174199,11,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-958445,2,2,913.0,1004.0,04:47,03:16,91.0,2,4,-2,1,2,1,1,0,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,0,0,1,0,01:31,0,1,1.0,0.0,,2.0,2.0,2.0,1.0,2.0,-1.0,false
2174199-105159-10,10,2174199,12,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-1895174,2,2,1004.0,1200.0,03:16,00:00,196.0,6,8,-2,2,3,1,2,1,1,1,2,2,0,1,1,0,3,4,2,2,1,2,1,1,0,1,2,0,03:16,1,2,0.5,1.0,0.5,4.8,4.4,4.6,1.25,1.8182,-0.5682,true
2174199-105159-11,11,2174199,13,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-958445,3,3,1200.0,1484.0,10:00,05:16,284.0,10,3,7,4,7,2,4,2,3,0,0,3,0,0,3,0,1,5,0,4,1,1,0,1,2,0,3,1,04:44,3,4,0.5,0.6667,,7.0,5.93,6.465,1.4286,0.5059,0.9227,true
2174199-105159-12,12,2174199,14,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705204-1705205-1917875,3,3,1484.0,1561.0,05:16,03:59,77.0,2,4,-2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,2,1,1,0,1,3,1,0,1,0,1,01:17,0,1,1.0,,,2.0,2.13,2.065,1.0,1.8779,-0.8779,false
2174199-105159-13,13,2174199,15,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705206-1705204-1917875,3,3,1561.0,1590.0,03:59,03:30,29.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,00:29,1,0,,,1.0,1.4,1.0,1.2,0.7143,0.0,0.7143,false
2174199-105159-14,14,2174199,16,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705206-1705204-1895174,3,3,1590.0,1681.0,03:30,01:59,91.0,2,2,0,1,3,1,3,0,0,0,0,1,0,1,1,2,1,2,1,1,0,1,0,0,0,0,0,0,01:31,3,0,0.3333,,,1.8599999999999999,2.0,1.93,1.0753,1.0,0.0753,false
2174199-105159-15,15,2174199,17,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705206-1318079-1895174,3,3,1681.0,1712.0,01:59,01:28,31.0,2,2,0,0,1,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,00:31,1,0,0.0,,1.0,0.73,0.8,0.765,2.7397,2.5,0.2397,false
2174199-105159-16,16,2174199,18,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705206-1318079-1917875,3,3,1712.0,1752.6,01:28,00:47,40.6,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,00:41,0,0,,,,0.0,1.0,0.5,,3.0,,false
2174199-105159-17,17,2174199,19,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1705206-979669-1318079-1917875,3,3,1752.6,1767.4,00:47,00:32,14.8,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,00:15,0,0,,,1.0,0.8,1.0,0.9,2.5,2.0,0.5,false
2174199-105159-18,18,2174199,20,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1705206-979669-1318079-1895174,3,3,1767.4,1793.2,00:32,00:06,25.8,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:26,0,0,,,1.0,0.8,0.0,0.4,2.5,,,false
2174199-105159-19,19,2174199,21,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1705206-979669-1318079-1917875,3,3,1793.2,1800.0,00:06,00:00,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,00:07,0,0,,,,0.0,1.0,0.5,,0.0,,false
2174199-105159-20,20,2174199,22,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-958445,4,4,1800.0,1812.0,10:00,09:48,12.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,00:12,0,0,,,,0.0,0.8,0.4,,1.25,,false
2174199-105159-21,21,2174199,23,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-1917875,4,4,1812.0,1921.0,09:48,07:59,109.0,0,2,-2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,01:49,0,1,,0.0,,3.0,1.8,2.4,0.0,1.1111,-1.1111,false
