rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2168345-105491-24,24,2168345,26,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-1321394-1321388,4,4,2397.9,2400.0,00:02,00:00,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:02,0,0,,,,0.0,0.0,0.0,,,,false
2168345-105491-25,25,2168345,26,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-1321394-1321388,1,5,2400.0,2671.2,05:00,00:28,271.19999999999993,12,8,4,4,6,2,4,2,2,2,2,2,0,0,2,1,3,7,3,5,0,2,2,2,0,0,1,2,04:31,3,3,0.5,1.0,1.0,5.7299999999999995,5.66,5.695,2.0942,1.4134,0.6808,true
2168345-105491-26,26,2168345,27,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-957639-1321394,1,5,2671.2,2672.8,00:28,00:27,1.6,0,2,-2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,00:02,1,0,,,0.0,0.8,0.8,0.8,0.0,2.5,-2.5,false
2168345-105491-27,27,2168345,28,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-1321394-1615279,1,5,2672.8,2690.0,00:27,00:10,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,00:17,0,0,,,,1.0,0.0,0.5,0.0,,,false
2168345-105491-28,28,2168345,29,33535,2022-11-20 22:26:08.000000 UTC,105491,South Carolina,Gamecocks,89,1,false,true,1321390-1689293-1321392-957639-1321394,1,5,2690.0,2700.0,00:10,00:00,10.0,3,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,00:10,0,1,,,0.5,2.4000000000000004,2.0,2.2,1.25,0.0,1.25,false
2168345-105556-1,1,2168345,3,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687908-1600149,1,1,0.0,244.0,10:00,05:56,244.0,7,6,1,3,5,2,4,1,1,0,0,1,0,2,3,0,3,7,3,6,0,1,0,1,1,0,2,1,04:04,3,3,0.5,1.0,,7.0,6.93,6.965,1.0,0.8658,0.1342,true
2168345-105556-2,2,2168345,4,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1600149-1321482,1,1,244.0,592.0,05:56,00:08,348.0,14,5,9,6,9,5,8,1,1,1,1,4,1,3,6,1,2,9,1,7,1,2,0,1,2,1,2,1,05:48,7,3,0.625,1.0,1.0,11.33,9.93,10.63,1.2357,0.5035,0.7321,true
2168345-105556-3,3,2168345,5,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687908-1321482,1,1,592.0,600.0,00:08,00:00,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,00:08,1,0,,,,0.0,1.0,0.5,,0.0,,false
2168345-105556-4,4,2168345,6,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687905-1687908,2,2,600.0,701.0,10:00,08:19,101.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0,3,0,2,0,1,0,0,1,0,2,1,01:41,2,3,0.0,,,1.93,2.395,2.1625,0.0,0.0,0.0,false
2168345-105556-5,5,2168345,7,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687905-1892478,2,2,701.0,702.0,08:19,08:18,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,00:01,1,0,,,,0.0,0.0,0.0,,,,false
2168345-105556-6,6,2168345,8,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687905-1687908,2,2,702.0,703.0,08:18,08:17,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:01,0,0,,,,1.0,0.0,0.5,0.0,,,false
